GENENAME	Adrenal4.a.s	Adrenal4.c.s	Adrenal4.d.s	Thryoid5.a.s	Thyroid5.b.s	Thyroid5.c.s	Thyroid5.d.s
RP11-434C1.3	0	0	1	2	0	0	0
RP11-434C1.2	0	0	0	0	0	0	0
AC007450.1	0	0	0	0	0	0	0
RNU7-60P	0	0	0	1	0	0	0
RP11-434C1.1	67	32	35	18	23	0	11
ETV6	131	298	282	196	260	33	217
BCL2L14	0	1	2	0	3	0	1
RP11-267J23.4	5	4	6	0	3	0	2
LRP6	615	643	807	1607	1549	16	1841
RP11-267J23.1	0	0	0	0	0	0	0
RP11-757G14.3	0	0	0	0	0	0	0
MANSC1	338	243	331	623	438	16	477
RP11-757G14.1	2	1	4	0	1	2	1
LOH12CR2	32	18	25	42	39	0	60
LOH12CR1	72	106	99	76	62	0	61
RP11-253I19.4	1	0	0	0	1	0	1
DUSP16	982	2245	2745	1516	623	2	731
RP11-253I19.3	1	3	5	0	0	194	3
RP11-158N24.1	0	3	1	0	0	509	0
CREBL2	6558	5869	8713	3139	1796	105	2700
RP11-180M15.5	1	0	1	1	1	0	0
GPR19	20	16	18	1	5	115	1
RP11-180M15.3	0	0	0	0	0	92	0
CDKN1B	1742	1216	1520	848	777	4	1266
RP11-180M15.4	0	0	0	0	0	1	0
RP11-59H1.3	1	0	0	2	3	0	1
APOLD1	742	1473	860	6487	8293	0	6703
MIR613	0	0	0	0	0	63	0
RP11-59H1.4	0	1	0	1	0	0	0
DDX47	31	36	13	43	64	7	80
RP11-59H1.1	0	0	0	0	1	2	0
RP11-392P7.1	12	2	3	3	2	51	2
RPL13AP20	5	5	3	4	4	1	9
GPRC5A	95	423	174	4916	2487	130	5073
MIR614	0	0	0	0	0	0	0
RP11-392P7.6	81	52	33	103	86	33	105
GPRC5D	4	3	2	6	6	0	10
RP11-392P7.7	0	0	0	0	0	0	1
SNORD88	0	0	0	0	0	0	1
HEBP1	1237	907	993	1158	1866	0	1387
HTR7P1	83	58	77	162	336	0	232
RP11-377D9.3	7	2	4	5	6	0	4
RP11-377D9.1	0	0	0	0	0	0	0
KIAA1467	171	137	221	526	896	1170	579
GSG1	0	0	0	0	1	0	0
EMP1	717	3464	1427	2361	2380	0	5355
C12orf36	0	0	1	0	0	0	0
RNA5SP353	0	0	0	0	0	0	0
RP11-4N23.1	0	0	0	0	0	0	0
GRIN2B	0	0	3	2	0	0	0
AC007535.1	0	0	0	0	0	0	0
RN7SKP162	0	0	0	0	0	0	0
RP11-72J9.1	0	0	0	0	0	0	0
RP11-298E10.1	0	0	0	0	0	0	0
RN7SL46P	0	0	0	0	0	1	0
RP11-134N1.2	1	0	2	0	0	0	0
MRPS18CP4	0	0	0	0	0	0	0
GNAI2P1	0	0	0	0	0	0	0
RN7SL676P	0	0	0	0	0	0	0
RP11-515B12.1	0	0	0	0	1	1	1
ATF7IP	375	556	818	1444	1147	18	1583
PLBD1	144	129	179	28	93	0	307
RP11-502N13.2	0	0	0	0	0	0	1
RN7SKP134	0	0	0	0	0	0	0
RP11-695J4.2	2	0	0	1	3	2	4
GUCY2C	11	8	15	11	16	66	20
RP11-174G6.1	4	0	0	1	0	2	0
RP11-174G6.5	166	121	248	240	110	46	149
HIST4H4	55	48	97	95	64	2	47
H2AFJ	1048	593	881	218	131	15	219
WBP11	1194	1535	1362	1384	1255	266	1510
C12orf60	93	103	179	21	13	0	50
SMCO3	18	13	6	4	14	0	25
ART4	130	89	80	32	16	0	320
RP11-233G1.4	0	0	0	0	0	0	1
MGP	9839	6434	6238	959	811	0	3729
ERP27	11	12	11	42	45	0	71
ARHGDIB	1009	852	1394	1130	1333	5	1044
PDE6H	7	4	1	0	0	0	0
RP11-508P1.2	0	2	1	1	0	0	0
RERG	1615	1156	1187	123	70	0	101
RERG-IT1	9	7	1	1	0	0	0
RERG-AS1	1	0	1	0	0	0	0
RP11-365O10.1	14	10	8	2	2	0	8
PTPRO	26	40	90	6	20	74	18
RP11-6K23.1	0	0	0	0	0	0	0
EPS8	787	699	859	2434	761	5	1211
RP11-6B19.1	0	0	0	0	0	2	2
RP11-6B19.3	0	0	0	0	0	71	0
RP11-6B19.2	0	0	0	0	0	0	0
STRAP	1953	1965	1949	2698	1952	12	1957
DERA	378	314	435	724	455	0	659
RP11-674J14.3	0	0	0	1	1	0	0
SLC15A5	0	0	0	0	0	4	0
MGST1	6697	5932	8638	2070	1211	8	3479
RP11-473N11.2	135	148	159	251	209	17	218
AC007528.1	0	0	0	0	0	0	0
RP11-424M22.1	1	0	1	0	0	0	0
LMO3	506	184	508	1280	1192	0	2144
RP11-424M22.3	3	2	1	5	5	0	2
RP11-69C13.1	0	0	0	0	0	0	0
RP11-239A17.1	0	0	0	0	0	0	0
RP11-1018J11.1	347	322	354	272	247	0	334
EEF1A1P16	1	3	6	12	4	0	5
RP11-74N9.1	0	0	0	0	0	0	0
PSMC1P8	0	0	0	0	0	0	0
RP11-871F6.2	1	2	3	1	2	0	1
RP11-871F6.3	0	0	0	0	0	0	0
RP11-606D9.1	0	0	0	0	0	0	0
RERGL	96	32	73	0	6	0	74
PIK3C2G	68	47	12	0	1	0	8
RP11-459D22.2	0	0	0	0	0	0	0
RP11-459D22.1	1	2	0	0	0	0	0
RP11-127B1.1	0	0	0	0	0	0	0
PLCZ1	1	1	0	0	0	0	0
PSMC1P9	6	8	26	14	13	0	9
RP11-361I14.2	0	0	0	0	0	0	0
CAPZA3	0	1	0	0	0	0	0
RP11-282K24.1	0	1	0	1	0	2	0
RP11-282K24.2	0	0	0	0	0	20	0
PLEKHA5	1023	1479	1362	1402	426	282	861
RP11-282K24.3	0	0	0	0	0	1	1
RN7SL459P	0	0	0	0	0	0	0
RN7SL67P	2	0	0	0	1	0	0
AEBP2	766	895	857	956	666	1	917
RP11-841C19.3	122	110	71	40	20	0	32
RP11-841C19.4	0	0	0	0	0	0	1
EEF1A1P4	7	2	5	7	3	0	4
RP11-841C19.1	0	0	0	0	1	0	0
RP11-405A12.2	0	0	0	0	0	0	1
RP11-405A12.1	98	103	124	165	85	0	141
AC087237.1	0	0	0	0	0	0	0
RP11-664H17.1	0	0	0	0	0	0	2
CTC-465D4.1	0	0	0	0	0	0	2
RP11-284H19.1	0	0	0	0	0	0	0
PDE3A	230	161	174	356	138	0	273
UBE2L2	0	0	0	0	0	0	0
RP11-424C20.2	3	4	19	7	5	0	1
SLCO1C1	11	5	6	41	34	0	32
SLCO1B3	0	0	0	0	0	0	6
SLCO1B7	0	0	0	0	0	0	0
RP11-80N2.2	0	0	0	0	0	0	0
RP11-125O5.2	0	0	0	0	0	0	0
SLCO1B1	0	0	0	0	0	0	0
SLCO1A2	0	1	0	1	2	12	1
IAPP	0	0	0	0	0	660	1
PYROXD1	98	115	143	367	203	0	275
RP11-501E24.3	2	0	0	0	0	0	0
RECQL	376	470	609	525	456	484	678
GOLT1B	933	1023	1106	1108	631	0	986
C12orf39	7	8	9	496	588	0	586
GYS2	2	2	0	3	3	0	1
LDHB	7959	5858	6516	8349	4340	23	4927
RP11-59N23.3	0	0	0	0	0	3	0
RP11-59N23.1	0	2	0	0	1	3	0
KCNJ8	494	336	616	90	133	0	207
ABCC9	599	448	664	214	393	4	924
RP11-729I10.2	0	0	4	0	0	0	0
RP11-547L9.1	14	12	16	10	11	0	12
CMAS	1280	1057	1296	533	461	0	584
ST8SIA1	170	85	248	8	24	82	45
RP11-73M14.1	0	0	0	0	0	0	0
C2CD5	938	859	1148	1476	1201	150	1819
RP11-359J14.2	13	9	16	12	10	0	24
RP11-359J14.3	0	0	0	0	0	0	0
RP11-268P4.2	0	0	0	0	0	0	0
RP11-268P4.5	0	0	0	0	0	0	0
RP11-268P4.4	0	0	0	1	1	0	0
ETNK1	1636	1296	1471	2063	1628	0	1559
RP11-114G22.1	1	1	0	0	0	0	0
RPS27P22	0	0	0	0	0	0	0
RP11-449P1.1	0	0	0	0	0	0	0
RP11-153K16.1	0	0	0	0	0	0	0
RP11-686N4.1	0	0	0	0	0	0	0
RP11-153K16.2	0	0	0	0	0	0	0
SOX5	92	45	83	34	83	0	218
RP11-437F6.1	0	0	0	0	0	0	0
MIR920	0	0	0	0	0	1	0
RP11-444D3.1	4	3	6	1	3	1	14
RP11-778H2.1	0	0	0	0	0	0	0
LINC00477	0	0	0	0	0	0	0
RP11-615I16.3	0	0	0	0	0	0	0
RP11-615I16.1	0	0	0	0	0	0	0
RP11-625L16.1	0	0	0	0	0	0	1
RN7SL38P	0	0	0	0	0	0	0
BCAT1	611	725	791	141	90	0	198
RP11-625L16.3	0	0	0	0	0	0	0
AC026310.1	2	3	2	1	1	0	0
RP11-662I13.2	0	0	0	0	0	2	0
RP11-662I13.1	0	0	0	0	0	2	0
C12orf77	0	0	1	0	0	23	0
RP11-713N11.5	0	0	0	0	0	0	0
LRMP	65	56	139	138	124	53	126
RP11-713N11.3	1	0	0	0	1	0	0
RP11-713N11.4	1	2	0	0	1	0	0
CASC1	17	9	32	67	88	0	173
LYRM5	635	470	517	626	389	0	643
KRAS	522	597	700	944	645	1	1114
AC087239.1	0	0	0	0	0	0	0
RNU4-67P	0	0	0	0	0	0	0
RP11-318G8.1	0	0	0	0	0	0	0
IFLTD1	0	0	0	8	10	0	6
RP11-318G8.2	0	0	0	0	0	0	0
TUBB4BP1	0	0	0	0	0	0	0
RP11-685B13.2	0	0	0	0	0	0	0
RN7SKP262	0	0	0	0	0	0	0
RP11-443N24.2	0	0	0	0	0	3	0
RP11-443N24.1	36	79	64	81	65	22	86
RP11-443N24.3	0	0	0	0	0	0	0
RP11-443N24.4	0	0	0	0	0	0	0
RP11-877E17.2	262	233	198	267	113	0	151
RASSF8	1346	1158	1113	2304	362	306	699
BHLHE41	1058	643	572	865	3882	0	2489
SSPN	174	152	199	72	358	6	402
RP11-283G6.3	20	14	22	13	77	0	31
RP11-283G6.4	6	7	4	0	4	0	4
RP11-283G6.5	0	0	0	0	1	0	0
RP11-612B6.1	0	0	1	0	0	0	0
RP11-513G19.1	0	2	1	0	3	0	0
RP11-612B6.2	97	45	40	14	9	0	29
ITPR2	1007	1440	1712	816	562	1	953
RNA5SP354	0	0	0	0	0	0	0
RP11-666F17.1	3	1	0	0	0	0	1
RP11-666F17.2	0	0	0	0	0	63	0
ASUN	699	487	557	431	287	0	380
FGFR1OP2	1643	1548	1399	1313	610	0	1162
RP11-421F16.3	178	185	194	139	79	0	179
TM7SF3	1384	1077	1538	1048	1004	0	1059
AC024896.1	0	0	0	0	0	0	0
MED21	720	762	822	641	512	0	789
C12orf71	0	1	0	0	1	0	0
RP11-582E3.5	0	0	0	0	0	0	0
RP11-582E3.2	0	0	0	0	0	1	0
RP11-582E3.4	2	0	1	2	0	0	1
STK38L	725	742	756	702	483	0	790
ARNTL2	23	58	42	70	35	0	21
RP11-165P7.1	0	0	0	0	0	1	0
SMCO2	2	2	1	0	0	4	0
RP13-200J3.2	1	1	0	0	0	57	0
PPFIBP1	1488	1571	1857	2493	1447	158	3566
RP11-709A23.1	0	0	1	0	0	2	1
RP11-709A23.2	0	0	0	0	0	1	1
RP11-1060J15.3	0	0	0	0	0	0	0
RP11-1060J15.4	1	0	0	0	2	0	5
REP15	3	3	1	3	1	0	4
RP11-1060J15.5	0	0	0	0	0	0	0
RP11-1060J15.7	0	0	0	0	0	0	0
MRPS35	1104	888	1094	1630	859	0	1135
MANSC4	0	2	0	1	0	0	1
RP11-860B13.1	0	0	0	0	1	0	0
KLHL42	693	460	569	1728	616	0	806
RP11-860B13.3	0	0	0	0	0	0	0
RN7SKP15	0	0	0	0	0	0	0
RP11-993B23.1	0	0	0	0	0	0	0
PTHLH	15	8	9	14	6	0	23
RP11-993B23.3	0	0	0	0	0	0	0
CCDC91	668	543	622	1309	526	2	863
RP11-967K21.1	11	14	17	31	20	0	20
RP11-967K21.2	0	0	0	0	0	0	0
RNU4-54P	0	0	0	0	0	0	0
RNA5SP355	0	0	0	0	0	0	0
RP11-874G11.1	1	0	2	1	2	0	0
RP11-977P2.1	0	0	0	0	0	0	0
AC012150.1	0	0	0	0	0	0	0
RP11-946L16.1	3	0	1	0	0	3	0
FAR2	132	143	147	68	68	1	72
RP11-996F15.2	20	8	14	69	37	0	30
ERGIC2	624	615	697	1403	657	25	895
RP11-677C1.2	0	2	6	3	5	0	1
OVCH1	3	9	11	35	1	6	5
TMTC1	1362	1393	2250	394	125	0	569
RP11-310I24.1	2	0	0	0	0	0	1
RP11-1110J8.1	0	0	0	0	0	0	0
RP11-776A13.1	0	0	0	0	0	0	0
RP11-776A13.3	0	0	0	0	0	0	0
RNA5SP356	0	0	0	0	0	0	0
RP11-155I9.1	0	0	0	0	0	0	0
RP11-776A13.2	0	0	0	0	0	2	0
IPO8	1157	1073	1381	1705	1499	0	1708
CAPRIN2	730	687	792	540	691	0	806
RP11-77I22.2	3	1	1	1	1	0	2
RP11-77I22.3	26	31	31	2	6	1	3
RP11-77I22.4	0	0	0	0	0	0	0
TSPAN11	154	161	162	8	28	0	268
RP11-551L14.4	0	2	0	0	3	0	1
RP11-551L14.6	0	0	0	0	0	0	2
DDX11-AS1	9	2	4	5	7	0	9
DDX11	277	146	192	80	542	0	343
RP11-551L14.7	0	0	0	0	1	0	0
RP11-551L14.1	2	2	1	1	4	67	18
RP11-627K11.5	0	0	0	0	0	0	0
RP11-627K11.1	26	10	7	3	4	0	2
RP11-627K11.4	0	0	0	0	0	0	0
FAM60A	361	506	367	676	462	9	477
RP11-627K11.3	0	0	0	0	1	0	0
AC024940.1	0	0	0	0	0	1	0
RP11-771K4.1	0	0	0	0	1	0	0
DENND5B	854	663	1034	272	255	1	325
RP11-820K3.3	0	0	0	0	0	0	0
RP11-820K3.4	1	0	0	0	0	0	0
RP11-820K3.2	0	0	0	0	0	0	0
DENND5B-AS1	2	0	0	0	0	0	0
RNU5F-4P	0	0	0	0	0	0	0
RPL31P50	0	0	0	0	0	0	0
AK4P3	0	0	0	0	1	0	0
METTL20	173	108	182	129	130	0	175
AMN1	102	84	78	122	49	0	85
AC023157.1	0	0	0	0	0	0	0
STMN1P1	2	0	2	3	1	0	1
RP11-467L13.4	0	0	0	0	0	0	0
RP11-467L13.5	231	181	147	25	104	0	84
H3F3C	234	315	331	309	326	0	260
RP11-428G5.4	0	0	0	0	0	0	0
RP11-428G5.5	0	2	2	0	1	0	0
RP11-428G5.6	0	0	0	0	0	0	0
RP11-428G5.1	0	0	0	0	0	0	0
AC023050.1	0	0	0	0	0	0	0
RP11-428G5.2	0	0	0	0	0	0	0
RP11-428G5.7	0	1	0	2	0	32	0
KIAA1551	624	548	952	1657	973	0	1471
RP11-50I19.1	0	0	5	1	0	0	0
RP11-843B15.1	0	0	0	0	0	0	0
RP11-843B15.3	0	0	0	0	0	0	0
RP11-843B15.2	0	0	0	0	0	0	0
BICD1	272	238	323	576	381	1	312
RP11-956A19.1	0	0	0	1	0	7	0
FGD4	444	498	518	992	523	36	784
DNM1L	1485	1398	1524	1649	1153	2	1714
RP11-278C7.2	0	0	1	0	0	0	0
RP11-278C7.1	153	118	121	83	53	0	43
YARS2	176	149	162	180	137	0	141
PKP2	151	147	95	17	15	0	11
RP11-8P13.1	0	0	0	0	0	0	0
RP11-267D19.2	1	1	1	0	0	0	0
RP11-267D19.1	0	0	0	0	0	0	0
AC026357.1	0	0	0	0	0	0	0
SYT10	18	13	48	0	0	0	1
RP11-438D14.2	4	3	0	0	0	0	0
AC023158.1	0	0	0	0	0	0	0
RP11-56H16.1	0	0	0	0	0	0	0
RP13-359K18.1	0	0	0	0	0	0	0
RP11-847H18.2	0	0	0	0	0	0	0
ALG10	48	43	40	79	57	0	80
AC046130.1	0	0	0	0	0	0	0
RP11-847H18.3	1	1	3	0	1	8	0
RP11-313F23.3	0	0	0	0	0	0	0
RP11-313F23.2	0	0	0	0	0	0	0
TUBB8P4	0	0	0	0	0	0	0
RP11-313F23.4	0	0	1	0	0	0	3
RP11-313F23.5	2	2	14	1	3	0	5
RP13-7D7.1	0	0	0	0	0	0	0
RP11-125N22.4	0	0	0	0	0	0	0
RP11-125N22.3	0	0	0	0	0	0	0
RP11-125N22.1	0	0	0	0	0	0	0
RP11-125N22.2	0	0	0	0	0	0	0
RP11-297L6.2	0	0	0	0	0	0	0
RP11-297L6.1	0	0	0	0	0	0	0
RNA5SP358	0	0	0	0	0	0	0
RNA5SP359	0	0	0	0	0	0	0
TUBB8P5	0	0	0	0	0	0	0
RP11-266O15.4	0	0	0	0	0	0	0
RP11-266O15.3	0	0	0	0	0	0	0
ALG10B	62	107	103	192	183	0	212
AC117372.1	0	0	0	0	0	0	0
AC087897.1	0	0	0	0	0	0	0
RP11-804F13.2	0	1	0	0	0	0	0
RP11-804F13.1	0	0	0	0	0	0	0
CPNE8	406	244	379	353	327	2	317
RP11-396F22.1	11	6	6	5	6	5	3
AC067735.1	0	0	0	0	0	0	0
RP11-554L12.3	0	0	0	0	0	0	0
RP11-554L12.2	0	0	0	0	0	0	0
RP11-554L12.1	2	0	1	0	1	0	0
RP11-421H10.2	0	0	0	0	0	0	0
KIF21A	557	895	1298	993	323	18	678
AC121334.1	0	0	0	0	0	0	0
RP11-242C24.2	0	0	0	0	0	0	0
RP11-242C24.3	0	0	0	0	0	0	0
ABCD2	175	131	181	7	9	0	21
C12orf40	0	1	0	0	0	0	0
SLC2A13	750	665	759	242	141	11	213
AC121336.1	0	0	0	0	0	0	0
AC121336.2	3	4	0	0	0	5	0
RPL30P13	0	0	0	0	0	0	0
RP11-476D10.1	0	0	0	5	0	0	0
AC079630.2	0	0	0	12	0	0	0
AC079630.4	4	9	3	19	0	0	3
LRRK2	455	502	584	739	177	0	405
AC084290.2	0	0	0	0	0	0	0
MUC19	0	1	0	0	1	13	0
RP11-115F18.1	0	0	0	0	0	0	0
CNTN1	2132	2307	3034	2	4	0	197
RP11-367O10.1	0	0	0	0	0	0	0
PDZRN4	80	59	52	5	2	0	9
RP11-413B19.2	0	0	0	0	0	0	0
RNA5SP360	0	0	0	0	0	0	0
MTND2P17	0	0	0	0	0	0	0
MTND1P24	0	0	0	0	0	0	0
RP11-630C16.1	0	0	0	0	0	25	0
RP11-630C16.2	0	0	0	1	0	169	0
RP11-2A1.1	0	0	0	0	0	0	0
RP11-440G2.2	0	0	0	0	0	24	0
AC023513.1	0	0	0	0	0	0	0
GXYLT1	392	429	667	1468	581	5	897
YAF2	382	358	350	502	328	0	416
AC020629.1	0	0	0	0	0	0	0
PPHLN1	885	764	789	782	608	0	840
RN7SL10P	1	0	0	0	0	0	0
RP11-76E16.2	18	17	15	40	2	0	19
ZCRB1	888	621	687	782	537	0	787
RP11-328C8.2	48	41	69	54	57	0	40
PRICKLE1	51	30	95	119	82	0	214
RP11-328C8.4	1	0	1	1	0	0	10
RP11-328C8.5	0	0	0	0	0	0	1
RP11-609L23.1	0	0	0	0	0	0	0
RP11-609L23.3	0	0	0	0	0	0	0
RP11-609L23.2	3	0	1	0	0	0	0
RP11-25I15.2	0	0	0	0	0	0	0
RP11-25I15.1	0	0	0	0	0	0	0
RP11-25I15.3	1	0	0	0	0	0	0
RP11-510P12.1	0	0	0	0	0	0	0
RP11-547C5.1	0	0	0	0	0	0	0
RP11-547C5.2	0	0	0	0	0	0	0
MRPS36P5	0	0	0	0	0	0	0
RP11-118A3.1	0	0	0	0	0	0	0
AC079603.1	0	0	0	0	0	0	0
ADAMTS20	0	0	0	1	0	46	2
RP11-73B8.1	0	0	0	0	0	0	0
RP11-73B8.2	1	0	1	0	0	0	1
RP11-73B8.3	0	0	0	0	0	0	0
EEF1A1P17	1	1	1	2	3	0	0
RP11-350F4.2	172	103	111	214	181	0	297
PUS7L	135	116	245	354	278	0	431
RP11-210N13.1	2	3	0	4	3	0	4
IRAK4	335	334	429	849	701	1	793
TWF1	898	712	800	2266	1078	0	1853
TMEM117	93	82	106	181	56	1	128
RP11-624G19.1	0	0	0	0	0	0	0
RP11-46I1.1	0	0	0	0	0	0	0
RP11-46I1.2	0	0	0	0	0	0	1
NELL2	771	616	910	36	259	31	235
DBX2	0	1	2	0	0	77	3
RP11-478B9.1	0	0	0	0	0	0	0
RP11-478B9.3	0	0	1	2	0	0	0
RP11-478B9.2	0	0	0	0	0	0	0
RNA5SP361	0	0	0	0	0	0	0
PLEKHA8P1	92	72	129	62	38	0	48
RP11-139E19.2	0	0	0	0	0	0	0
ANO6	1982	2096	2385	1003	1127	14	1444
RP11-438E8.2	0	0	0	0	0	0	0
RP11-352M15.1	0	0	0	0	0	1	0
ARID2	455	447	498	1045	880	57	1061
RN7SL246P	1	0	0	0	0	0	0
RP11-19E18.1	0	0	0	1	1	0	0
SCAF11	877	1337	1413	2646	1912	55	2617
RP11-101K23.1	0	0	0	0	0	2	0
SLC38A1	510	533	675	9348	3263	2	4670
SLC38A2	6900	7470	8870	7097	1991	4	5973
RP11-474P2.2	0	0	0	0	0	1	0
RP11-96H19.1	15	10	12	18	30	0	31
RP11-474P2.4	4	1	1	3	15	1	3
RP11-66E20.2	0	0	0	0	0	2	0
SLC38A4	65	27	88	1	3	0	23
AMIGO2	776	801	995	82	155	0	175
PCED1B	458	363	610	15	31	0	12
RP11-23J18.1	2	1	3	0	2	0	0
MIR4698	0	0	0	0	0	0	0
PCED1B-AS1	35	25	48	3	15	2	13
RP11-493L12.3	1	0	0	0	0	0	0
RP11-493L12.4	3	1	15	0	0	0	0
RP11-493L12.6	0	0	0	0	1	43	0
RP11-493L12.5	0	2	1	0	0	121	0
MIR4494	0	0	0	0	0	59	0
RP1-90J4.1	0	0	0	0	0	0	0
RP1-90J4.2	0	0	0	0	0	2	0
RP1-90J4.3	0	0	0	0	0	2	0
RP3-432I18.1	0	0	0	0	0	0	0
RPAP3	336	327	405	528	393	2	580
RP1-197B17.3	24	5	11	23	11	49	10
ENDOU	7	3	8	24	5	8	17
RAPGEF3	237	164	185	2733	2807	618	2213
SLC48A1	749	532	593	2723	1098	222	1185
HDAC7	1516	1785	1458	953	1386	12	1073
AC004466.1	0	5	3	3	2	0	0
RP5-1057I20.2	0	1	0	1	1	0	2
VDR	677	1080	381	111	76	2	92
RP11-89H19.1	1	0	0	1	0	0	0
TMEM106C	578	445	459	707	621	14	742
COL2A1	0	1	2	0	1	0	0
RP1-228P16.3	0	0	0	0	0	0	0
RP1-228P16.4	0	0	0	0	0	0	0
RP1-228P16.5	0	0	0	0	0	0	0
SENP1	217	202	237	453	364	6	417
RP1-228P16.1	7	5	1	4	2	2	3
RP1-228P16.7	72	55	57	29	22	0	25
PFKM	2510	2202	2382	1508	1139	0	1043
ASB8	765	538	650	631	522	0	613
RP11-474C8.3	0	0	0	0	0	0	0
RP11-474C8.4	0	0	0	0	0	0	0
RP11-474C8.5	0	2	0	0	0	0	0
C12orf68	208	121	156	13	20	0	9
DKFZP779L1853	30	20	8	20	65	0	20
OR10AD1	3	8	6	0	9	0	4
RP11-370I10.2	0	6	5	0	1	0	0
H1FNT	2	3	3	0	1	0	0
RP11-370I10.4	0	0	0	0	0	0	0
ZNF641	1170	1055	1319	976	612	1	719
RP11-370I10.6	0	2	2	1	7	0	5
RP11-370I10.7	2	4	2	11	9	0	6
AC024257.1	4	0	3	0	2	0	0
RP11-762H13.1	1	0	0	0	0	9	0
RP11-370I10.8	0	0	0	0	0	0	0
OR8T1P	6	6	11	6	1	123	3
ANP32D	0	1	0	0	0	0	2
C12orf54	6	3	9	1	0	0	1
RP11-722P11.4	0	0	0	0	0	0	0
RPS10P20	0	0	0	0	0	0	0
OR8S1	2	1	0	0	1	74	0
RP11-722P11.6	0	0	0	0	0	1	0
LALBA	1	0	0	0	0	0	0
OR11M1P	0	0	0	0	0	97	0
KANSL2	377	342	330	589	318	52	386
SNORA34	3	1	2	1	1	0	0
SNORA2A	3	1	0	2	0	27	1
SNORA2B	0	0	1	0	0	2	0
CCNT1	815	1029	1027	1164	956	41	1185
RP11-579D7.1	0	0	0	0	0	0	0
ADCY6	665	928	874	764	1028	1	781
RP11-579D7.2	0	0	0	0	0	0	0
MIR4701	1	1	0	1	0	0	0
RP11-579D7.4	4	0	0	2	0	0	3
RP11-579D7.8	0	1	0	1	1	0	0
CACNB3	164	136	180	138	317	0	256
DDX23	1076	1127	1213	1313	1514	2	1413
RND1	11	19	44	108	98	1	37
RP11-302B13.1	1	0	0	0	0	0	0
ARF3	2512	2451	2847	3490	3328	91	3187
CCDC65	15	12	18	63	62	5	58
FKBP11	100	137	185	312	356	0	193
AC073610.5	0	0	0	0	0	0	0
WNT10B	5	5	15	4	19	3	4
WNT1	1	1	0	0	3	1	1
DDN	1	1	2	0	0	1	0
RP11-386G11.3	0	0	0	0	0	0	0
RP11-386G11.5	5	4	4	3	1	0	2
PRKAG1	1086	813	902	999	673	0	797
MLL2	1226	1142	1748	1244	2288	1	1615
RHEBL1	5	2	3	4	12	16	8
DHH	2	0	4	0	2	0	2
RP11-386G11.8	1	0	0	0	0	0	0
LMBR1L	830	1001	619	426	655	94	470
RP11-386G11.10	1	3	1	1	0	4	0
TUBA1B	495	602	781	579	442	84	662
TUBA1A	1870	1858	2641	511	385	7	927
TUBA1C	166	235	268	364	339	34	464
RP11-977B10.2	3	3	3	1	1	40	2
RP11-161H23.5	0	0	0	0	0	0	0
RP11-161H23.9	0	3	1	2	0	1	1
PRPH	120	58	289	9	0	0	4
TROAP	10	3	5	23	26	0	3
C1QL4	2	0	2	69	18	0	4
DNAJC22	6	7	8	378	586	423	384
SPATS2	333	313	336	674	555	3	573
RP11-161H23.10	0	0	0	0	1	0	1
RP11-161H23.8	0	0	0	0	0	13	0
KCNH3	74	80	116	18	57	0	29
MCRS1	584	465	539	872	1056	2	947
PRPF40B	311	231	210	390	545	8	376
RP11-133N21.10	2	2	0	3	4	0	13
FAM186B	1	5	11	16	27	9	11
POLR2KP1	0	1	0	0	4	0	1
RP11-133N21.7	5	6	3	2	5	6	3
HIGD1AP9	0	0	0	0	0	0	0
FMNL3	424	446	587	926	1375	3	1303
TMBIM6	13556	12165	15227	29915	15826	111	19000
RP11-133N21.12	0	0	0	0	0	0	0
LSM6P2	0	0	0	0	0	1	0
NCKAP5L	753	573	786	274	409	90	289
BCDIN3D-AS1	23	20	19	30	35	1	32
BCDIN3D	65	35	54	61	52	7	54
RP11-70F11.7	0	0	0	0	0	1	0
RP11-70F11.2	6	4	1	0	0	1	0
FAIM2	1501	1264	1587	0	0	7	23
RP11-70F11.11	0	0	0	0	1	1	0
RP11-70F11.8	0	0	0	1	0	1	0
AQP2	38	30	36	0	1	0	1
RP11-469H8.6	1	0	0	0	1	0	3
RP11-469H8.8	0	0	0	0	0	0	0
AQP5	12	4	4	0	20	1	27
AQP6	16	10	8	0	2	0	1
RACGAP1	61	75	107	115	117	0	76
ASIC1	37	33	44	41	9	355	19
SMARCD1	991	735	809	1042	1048	104	947
GPD1	278	98	210	22	38	0	52
COX14	587	383	489	437	276	0	350
CERS5	481	384	407	542	533	0	523
LIMA1	1906	2061	2361	809	1258	1	2015
RP3-405J10.3	5	12	3	0	6	0	5
RP3-405J10.2	0	0	0	0	0	1	0
RP3-405J10.4	0	0	0	0	0	0	0
MIR1293	0	0	0	0	0	0	0
AC008147.2	0	0	0	1	4	0	1
AC008147.1	0	0	0	0	0	0	0
AC140061.11	0	0	0	0	0	0	0
AC140061.10	0	0	0	0	0	0	0
AC140061.12	0	0	1	0	1	0	0
AC140061.9	0	0	0	0	0	0	0
AC140061.8	0	0	0	0	0	0	0
AC140061.7	0	0	0	0	0	8	0
AC140061.1	0	0	0	0	0	0	0
AC140061.6	0	0	0	0	0	0	0
AC140061.5	0	0	0	0	0	0	0
AC140061.4	0	0	0	0	1	0	0
AC140061.3	0	0	0	1	0	0	0
AC140061.2	0	0	0	0	0	0	0
